timestramp,model,latency,response_length
1768814208.978503,chatgpt,5.467,569
1768814210.541997,llama,7.029,1280
1768814212.0877419,gemini,8.575,289
1768814973.221301,llama,4.93,1481
1768814973.222503,chatgpt,4.937,763
1768814976.5845602,gemini,8.3,1340
1768817209.5615559,llama,4.18,1266
1768817209.566853,chatgpt,4.187,449
1768817211.055132,gemini,5.674,581
